,index,type,activity,key,fromUser,beginAt,endedAt
0,205832,continuous,connection,,ObjectId(5f23ed15d86cda002712e187),2020-08-08T08:54:21.148Z,2020-08-08T08:55:35.629Z
1,205833,continuous,view_tab_discover,,ObjectId(5f23ed15d86cda002712e187),2020-08-08T08:54:21.167Z,2020-08-08T08:54:22.618Z
2,205834,continuous,view_tab_portal,,ObjectId(5f23ed15d86cda002712e187),2020-08-08T08:54:22.617Z,2020-08-08T08:55:35.629Z
3,205835,discrete,swipe_user_post,5f0ee5d8d86cda002712dcb9,ObjectId(5f23ed15d86cda002712e187),,
4,205836,discrete,view_user,5f0ee5d8d86cda002712dcb9,ObjectId(5f23ed15d86cda002712e187),,
5,205837,continuous,connection,,ObjectId(5f23ed15d86cda002712e187),2020-08-09T07:28:12.196Z,2020-08-09T07:28:26.246Z
6,205838,continuous,view_tab_discover,,ObjectId(5f23ed15d86cda002712e187),2020-08-09T07:28:12.215Z,2020-08-09T07:28:26.246Z
7,205839,discrete,view_user,5f0ee5d8d86cda002712dcb9,ObjectId(5f23ed15d86cda002712e187),,
8,205840,continuous,connection,,ObjectId(5f23ed15d86cda002712e187),2020-08-09T12:26:17.952Z,2020-08-09T12:26:57.886Z
9,205841,continuous,view_tab_discover,,ObjectId(5f23ed15d86cda002712e187),2020-08-09T12:26:18.000Z,2020-08-09T12:26:20.445Z
10,205842,continuous,view_tab_portal,,ObjectId(5f23ed15d86cda002712e187),2020-08-09T12:26:20.445Z,2020-08-09T12:26:55.326Z
11,205843,discrete,view_user,5f0ee5d8d86cda002712dcb9,ObjectId(5f23ed15d86cda002712e187),,
12,205844,continuous,view_tab_activity,,ObjectId(5f23ed15d86cda002712e187),2020-08-09T12:26:55.326Z,2020-08-09T12:26:57.886Z
13,205845,continuous,connection,,ObjectId(5f23ed15d86cda002712e187),2020-08-10T01:53:10.722Z,2020-08-10T01:54:10.045Z
14,205846,continuous,view_tab_discover,,ObjectId(5f23ed15d86cda002712e187),2020-08-10T01:53:10.765Z,2020-08-10T01:53:10.775Z
15,205847,continuous,view_tab_portal,,ObjectId(5f23ed15d86cda002712e187),2020-08-10T01:53:10.775Z,2020-08-10T01:54:10.045Z
16,205848,discrete,view_user,5ec062518d9db90027bb2bb1,ObjectId(5f23ed15d86cda002712e187),,
17,205849,discrete,view_user,5f0ee5d8d86cda002712dcb9,ObjectId(5f23ed15d86cda002712e187),,
18,205850,continuous,connection,,ObjectId(5f23ed15d86cda002712e187),2020-08-10T06:33:39.361Z,2020-08-10T06:34:24.656Z
19,205851,continuous,view_tab_discover,,ObjectId(5f23ed15d86cda002712e187),2020-08-10T06:33:39.393Z,2020-08-10T06:33:42.328Z
20,205852,continuous,view_tab_portal,,ObjectId(5f23ed15d86cda002712e187),2020-08-10T06:33:42.328Z,2020-08-10T06:34:24.656Z
21,205853,discrete,view_user,5f0ee5d8d86cda002712dcb9,ObjectId(5f23ed15d86cda002712e187),,
22,205854,continuous,connection,,ObjectId(5f23ed15d86cda002712e187),2020-08-10T09:24:13.872Z,2020-08-10T09:24:31.229Z
23,205855,continuous,view_tab_discover,,ObjectId(5f23ed15d86cda002712e187),2020-08-10T09:24:13.916Z,2020-08-10T09:24:18.687Z
24,205856,continuous,view_tab_portal,,ObjectId(5f23ed15d86cda002712e187),2020-08-10T09:24:18.687Z,2020-08-10T09:24:31.229Z
25,205857,continuous,connection,,ObjectId(5f23ed15d86cda002712e187),2020-08-10T14:13:59.478Z,2020-08-10T14:14:09.898Z
26,205858,continuous,view_tab_discover,,ObjectId(5f23ed15d86cda002712e187),2020-08-10T14:13:59.503Z,2020-08-10T14:14:01.003Z
27,205859,continuous,view_tab_portal,,ObjectId(5f23ed15d86cda002712e187),2020-08-10T14:14:01.003Z,2020-08-10T14:14:09.898Z
28,205860,continuous,connection,,ObjectId(5f23ed15d86cda002712e187),2020-08-10T14:15:46.525Z,2020-08-10T14:15:54.246Z
29,205861,continuous,connection,,ObjectId(5f23ed15d86cda002712e187),2020-08-11T05:56:43.111Z,2020-08-11T05:57:47.712Z
30,205862,continuous,view_tab_discover,,ObjectId(5f23ed15d86cda002712e187),2020-08-11T05:56:43.155Z,2020-08-11T05:57:47.712Z
31,205863,discrete,view_user,5f0ee5d8d86cda002712dcb9,ObjectId(5f23ed15d86cda002712e187),,
32,205864,continuous,connection,,ObjectId(5f23ed15d86cda002712e187),2020-08-11T16:44:12.029Z,2020-08-11T16:44:49.943Z
33,205865,continuous,view_tab_discover,,ObjectId(5f23ed15d86cda002712e187),2020-08-11T16:44:12.140Z,2020-08-11T16:44:13.823Z
34,205866,continuous,view_tab_portal,,ObjectId(5f23ed15d86cda002712e187),2020-08-11T16:44:13.823Z,2020-08-11T16:44:49.943Z
35,205867,discrete,view_user,5f0ee5d8d86cda002712dcb9,ObjectId(5f23ed15d86cda002712e187),,
36,205868,continuous,connection,,ObjectId(5f23ed15d86cda002712e187),2020-08-12T07:30:21.638Z,2020-08-12T07:30:40.322Z
37,205869,continuous,view_tab_discover,,ObjectId(5f23ed15d86cda002712e187),2020-08-12T07:30:21.696Z,2020-08-12T07:30:40.322Z
38,205870,discrete,view_user,5f0ee5d8d86cda002712dcb9,ObjectId(5f23ed15d86cda002712e187),,
39,205871,continuous,connection,,ObjectId(5f23ed15d86cda002712e187),2020-08-12T08:46:29.608Z,2020-08-12T08:47:06.868Z
