,index,type,activity,key,fromUser,beginAt,endedAt,Duration
0,218594,continuous,view_tab_portal,,ObjectId(5f2bccd6d4915600271e76f5),2020-08-10T23:13:02.815Z,2020-08-10T23:13:27.603Z,24.788
1,218595,continuous,view_tab_discover,,ObjectId(5f2bccd6d4915600271e76f5),2020-08-10T23:13:27.603Z,2020-08-10T23:24:56.314Z,688.711
2,218596,continuous,connection,,ObjectId(5f2bccd6d4915600271e76f5),2020-08-10T23:25:01.045Z,2020-08-10T23:25:02.513Z,1.468
3,218597,continuous,connection,,ObjectId(5f2bccd6d4915600271e76f5),2020-08-10T23:25:28.131Z,2020-08-10T23:25:32.154Z,4.023
4,218598,continuous,connection,,ObjectId(5f2bccd6d4915600271e76f5),2020-08-10T23:27:20.665Z,2020-08-10T23:28:24.082Z,63.417
5,218599,continuous,view_tab_discover,,ObjectId(5f2bccd6d4915600271e76f5),2020-08-10T23:27:20.715Z,2020-08-10T23:28:24.082Z,63.367
6,218600,continuous,connection,,ObjectId(5f2bccd6d4915600271e76f5),2020-08-10T23:28:29.137Z,2020-08-10T23:28:33.062Z,3.925
7,218601,continuous,connection,,ObjectId(5f2bccd6d4915600271e76f5),2020-08-10T23:28:38.047Z,2020-08-10T23:28:49.330Z,11.283
8,218602,continuous,connection,,ObjectId(5f2bccd6d4915600271e76f5),2020-08-10T23:28:51.677Z,2020-08-10T23:29:01.141Z,9.464
9,218603,continuous,connection,,ObjectId(5f2bccd6d4915600271e76f5),2020-08-10T23:29:04.789Z,2020-08-10T23:29:23.966Z,19.177
10,218604,continuous,connection,,ObjectId(5f2bccd6d4915600271e76f5),2020-08-10T23:29:28.312Z,2020-08-10T23:29:36.847Z,8.535
11,218605,continuous,connection,,ObjectId(5f2bccd6d4915600271e76f5),2020-08-10T23:29:40.122Z,2020-08-10T23:29:47.010Z,6.888
12,218606,continuous,connection,,ObjectId(5f2bccd6d4915600271e76f5),2020-08-10T23:29:51.019Z,2020-08-10T23:30:01.999Z,10.98
13,218607,continuous,connection,,ObjectId(5f2bccd6d4915600271e76f5),2020-08-10T23:30:06.006Z,2020-08-10T23:30:13.807Z,7.801
14,218608,continuous,connection,,ObjectId(5f2bccd6d4915600271e76f5),2020-08-10T23:30:19.537Z,2020-08-10T23:30:37.036Z,17.499
15,218609,continuous,connection,,ObjectId(5f2bccd6d4915600271e76f5),2020-08-10T23:30:40.257Z,2020-08-10T23:50:41.173Z,1200.916
16,218610,continuous,connection,,ObjectId(5f2bccd6d4915600271e76f5),2020-08-10T23:51:28.920Z,2020-08-10T23:57:23.594Z,354.674
17,218611,continuous,connection,,ObjectId(5f2bccd6d4915600271e76f5),2020-08-10T23:58:11.813Z,2020-08-11T00:00:11.012Z,119.199
18,218612,continuous,connection,,ObjectId(5f2bccd6d4915600271e76f5),2020-08-11T00:00:44.441Z,2020-08-11T00:00:46.758Z,2.317
19,218613,continuous,connection,,ObjectId(5f2bccd6d4915600271e76f5),2020-08-11T00:00:46.982Z,2020-08-11T00:00:50.054Z,3.072
20,218614,continuous,connection,,ObjectId(5f2bccd6d4915600271e76f5),2020-08-11T00:00:47.581Z,2020-08-11T00:00:50.054Z,2.473
21,218615,continuous,connection,,ObjectId(5f2bccd6d4915600271e76f5),2020-08-11T00:00:50.412Z,2020-08-11T00:00:58.121Z,7.709
22,218616,continuous,connection,,ObjectId(5f2bccd6d4915600271e76f5),2020-08-11T00:00:58.481Z,2020-08-11T00:01:02.188Z,3.707
23,218617,continuous,connection,,ObjectId(5f2bccd6d4915600271e76f5),2020-08-11T00:00:59.529Z,2020-08-11T00:01:02.188Z,2.659
24,218618,continuous,connection,,ObjectId(5f2bccd6d4915600271e76f5),2020-08-11T00:01:02.530Z,2020-08-11T00:01:28.481Z,25.951
25,218619,continuous,connection,,ObjectId(5f2bccd6d4915600271e76f5),2020-08-11T00:01:52.117Z,2020-08-11T00:02:22.118Z,30.001
26,218620,continuous,connection,,ObjectId(5f2bccd6d4915600271e76f5),2020-08-11T00:04:47.787Z,2020-08-11T00:04:49.056Z,1.269
27,218621,continuous,connection,,ObjectId(5f2bccd6d4915600271e76f5),2020-08-11T00:04:49.174Z,2020-08-11T00:09:32.799Z,283.625
28,218622,continuous,connection,,ObjectId(5f2bccd6d4915600271e76f5),2020-08-11T00:04:50.309Z,2020-08-11T00:09:32.799Z,282.49
29,218623,continuous,connection,,ObjectId(5f2bccd6d4915600271e76f5),2020-08-11T00:10:02.587Z,2020-08-11T00:10:16.340Z,13.753
30,218624,continuous,connection,,ObjectId(5f2bccd6d4915600271e76f5),2020-08-11T00:13:27.704Z,2020-08-11T00:14:58.637Z,90.933
31,218625,continuous,view_tab_discover,,ObjectId(5f2bccd6d4915600271e76f5),2020-08-11T00:13:27.818Z,2020-08-11T00:14:58.637Z,90.819
32,218626,continuous,connection,,ObjectId(5f2bccd6d4915600271e76f5),2020-08-11T00:16:06.917Z,2020-08-11T00:16:25.284Z,18.367
33,218627,continuous,connection,,ObjectId(5f2bccd6d4915600271e76f5),2020-08-11T00:17:00.313Z,2020-08-11T00:21:18.065Z,257.752
34,218628,continuous,view_tab_discover,,ObjectId(5f2bccd6d4915600271e76f5),2020-08-11T00:17:00.379Z,2020-08-11T00:21:16.257Z,255.878
35,218629,continuous,read_article,5f31d4a4ed70590027718ae0,ObjectId(5f2bccd6d4915600271e76f5),2020-08-11T00:21:13.015Z,2020-08-11T00:21:15.347Z,2.332
36,218630,continuous,view_tab_activity,,ObjectId(5f2bccd6d4915600271e76f5),2020-08-11T00:21:16.256Z,2020-08-11T00:21:18.065Z,1.809
37,218631,continuous,connection,,ObjectId(5f2bccd6d4915600271e76f5),2020-08-11T00:49:46.119Z,2020-08-11T00:56:56.002Z,429.883
38,218632,continuous,view_tab_discover,,ObjectId(5f2bccd6d4915600271e76f5),2020-08-11T00:49:46.246Z,2020-08-11T00:49:47.475Z,1.229
39,218633,continuous,view_tab_activity,,ObjectId(5f2bccd6d4915600271e76f5),2020-08-11T00:49:47.472Z,2020-08-11T00:56:56.002Z,428.53
40,218634,continuous,connection,,ObjectId(5f2bccd6d4915600271e76f5),2020-08-11T00:56:57.554Z,2020-08-11T00:58:31.938Z,94.384
41,218635,continuous,view_tab_discover,,ObjectId(5f2bccd6d4915600271e76f5),2020-08-11T00:57:01.504Z,2020-08-11T00:57:07.264Z,5.76
42,218636,continuous,view_tab_portal,,ObjectId(5f2bccd6d4915600271e76f5),2020-08-11T00:57:07.263Z,2020-08-11T00:58:31.938Z,84.675
