,index,type,activity,key,fromUser,beginAt,endedAt
0,188819,continuous,connection,,ObjectId(5f1477b5de92720027ba9943),2020-07-21T15:14:06.058Z,2020-07-21T15:14:23.519Z
1,188820,continuous,connection,,ObjectId(5f1477b5de92720027ba9943),2020-07-21T15:15:49.112Z,2020-07-21T15:16:05.240Z
2,188821,continuous,view_tab_chat,,ObjectId(5f1477b5de92720027ba9943),2020-07-21T15:15:50.411Z,2020-07-21T15:16:05.240Z
3,188822,continuous,connection,,ObjectId(5f1477b5de92720027ba9943),2020-07-21T15:16:19.719Z,2020-07-21T15:16:38.414Z
4,188823,continuous,view_tab_discover,,ObjectId(5f1477b5de92720027ba9943),2020-07-21T15:16:20.920Z,2020-07-21T15:16:21.595Z
5,188824,continuous,view_tab_portal,,ObjectId(5f1477b5de92720027ba9943),2020-07-21T15:16:21.595Z,2020-07-21T15:16:22.011Z
6,188825,continuous,view_tab_discover,,ObjectId(5f1477b5de92720027ba9943),2020-07-21T15:16:22.011Z,2020-07-21T15:16:38.414Z
7,188826,continuous,read_article,5f16f8fa00df460026e09784,ObjectId(5f1477b5de92720027ba9943),2020-07-21T15:16:24.664Z,2020-07-21T15:16:38.414Z
8,188827,continuous,connection,,ObjectId(5f1477b5de92720027ba9943),2020-07-21T15:17:25.447Z,2020-07-21T15:17:36.417Z
9,188828,continuous,connection,,ObjectId(5f1477b5de92720027ba9943),2020-07-21T15:24:03.276Z,2020-07-21T15:24:05.372Z
10,188829,continuous,connection,,ObjectId(5f1477b5de92720027ba9943),2020-07-21T15:24:06.492Z,2020-07-21T15:24:15.835Z
11,188830,continuous,connection,,ObjectId(5f1477b5de92720027ba9943),2020-07-21T15:25:07.430Z,2020-07-21T15:25:27.124Z
12,188831,continuous,connection,,ObjectId(5f1477b5de92720027ba9943),2020-07-21T16:12:45.074Z,2020-07-21T16:13:12.860Z
13,188832,continuous,view_tab_discover,,ObjectId(5f1477b5de92720027ba9943),2020-07-21T16:12:45.127Z,2020-07-21T16:12:45.346Z
14,188833,continuous,view_tab_chat,,ObjectId(5f1477b5de92720027ba9943),2020-07-21T16:12:45.346Z,2020-07-21T16:12:50.635Z
15,188834,continuous,view_tab_activity,,ObjectId(5f1477b5de92720027ba9943),2020-07-21T16:12:50.634Z,2020-07-21T16:12:55.089Z
16,188835,continuous,read_article,5f16e132ceaedb00278b678d,ObjectId(5f1477b5de92720027ba9943),2020-07-21T16:12:52.573Z,2020-07-21T16:12:54.203Z
17,188836,continuous,view_tab_discover,,ObjectId(5f1477b5de92720027ba9943),2020-07-21T16:12:55.089Z,2020-07-21T16:13:12.860Z
18,188837,continuous,read_article,5f16f8fa00df460026e09784,ObjectId(5f1477b5de92720027ba9943),2020-07-21T16:13:00.770Z,2020-07-21T16:13:12.860Z
19,188838,continuous,connection,,ObjectId(5f1477b5de92720027ba9943),2020-07-21T16:13:13.280Z,2020-07-21T16:13:15.895Z
20,188839,continuous,connection,,ObjectId(5f1477b5de92720027ba9943),2020-07-21T16:17:40.197Z,2020-07-21T16:17:43.109Z
21,188840,continuous,view_tab_discover,,ObjectId(5f1477b5de92720027ba9943),2020-07-21T16:17:40.268Z,2020-07-21T16:17:43.109Z
22,188841,continuous,connection,,ObjectId(5f1477b5de92720027ba9943),2020-07-21T16:17:43.406Z,2020-07-21T16:18:37.856Z
23,188842,continuous,connection,,ObjectId(5f1477b5de92720027ba9943),2020-07-21T16:17:43.826Z,2020-07-21T16:18:37.856Z
24,188843,continuous,read_article,5f16f8fa00df460026e09784,ObjectId(5f1477b5de92720027ba9943),2020-07-21T16:17:49.678Z,2020-07-21T16:17:51.162Z
25,188844,continuous,view_tab_portal,,ObjectId(5f1477b5de92720027ba9943),2020-07-21T16:17:57.174Z,2020-07-21T16:17:58.840Z
26,188845,continuous,view_tab_activity,,ObjectId(5f1477b5de92720027ba9943),2020-07-21T16:17:58.840Z,2020-07-21T16:18:00.337Z
27,188846,continuous,view_tab_portal,,ObjectId(5f1477b5de92720027ba9943),2020-07-21T16:18:00.337Z,2020-07-21T16:18:37.856Z
28,188847,continuous,connection,,ObjectId(5f1477b5de92720027ba9943),2020-07-21T16:30:51.197Z,2020-07-21T16:31:02.039Z
29,188848,continuous,view_tab_discover,,ObjectId(5f1477b5de92720027ba9943),2020-07-21T16:30:51.264Z,2020-07-21T16:30:53.407Z
30,188849,continuous,view_tab_activity,,ObjectId(5f1477b5de92720027ba9943),2020-07-21T16:30:53.407Z,2020-07-21T16:31:02.039Z
31,188850,continuous,connection,,ObjectId(5f1477b5de92720027ba9943),2020-07-21T16:56:36.126Z,2020-07-21T16:57:01.776Z
32,188851,continuous,view_tab_discover,,ObjectId(5f1477b5de92720027ba9943),2020-07-21T16:56:36.185Z,2020-07-21T16:56:37.104Z
33,188852,continuous,view_tab_activity,,ObjectId(5f1477b5de92720027ba9943),2020-07-21T16:56:37.103Z,2020-07-21T16:56:38.999Z
34,188853,continuous,view_tab_portal,,ObjectId(5f1477b5de92720027ba9943),2020-07-21T16:56:38.999Z,2020-07-21T16:57:01.776Z
35,188854,discrete,swipe_user_post,5f0db5e453030f00279f5d06,ObjectId(5f1477b5de92720027ba9943),,
36,188855,continuous,connection,,ObjectId(5f1477b5de92720027ba9943),2020-07-21T17:17:14.008Z,2020-07-21T17:17:17.256Z
37,188856,continuous,view_tab_discover,,ObjectId(5f1477b5de92720027ba9943),2020-07-21T17:17:14.102Z,2020-07-21T17:17:17.256Z
38,188857,continuous,connection,,ObjectId(5f1477b5de92720027ba9943),2020-07-21T17:48:47.523Z,2020-07-21T17:48:52.113Z
39,188858,continuous,view_tab_discover,,ObjectId(5f1477b5de92720027ba9943),2020-07-21T17:48:47.577Z,2020-07-21T17:48:50.625Z
40,188859,continuous,view_tab_portal,,ObjectId(5f1477b5de92720027ba9943),2020-07-21T17:48:50.625Z,2020-07-21T17:48:52.113Z
41,188860,continuous,connection,,ObjectId(5f1477b5de92720027ba9943),2020-07-21T17:51:57.809Z,2020-07-21T17:52:28.480Z
42,188861,continuous,view_tab_discover,,ObjectId(5f1477b5de92720027ba9943),2020-07-21T17:51:57.928Z,2020-07-21T17:51:59.455Z
43,188862,continuous,view_tab_portal,,ObjectId(5f1477b5de92720027ba9943),2020-07-21T17:51:59.455Z,2020-07-21T17:52:28.480Z
44,188863,continuous,connection,,ObjectId(5f1477b5de92720027ba9943),2020-07-21T17:52:37.786Z,2020-07-21T17:52:45.949Z
45,188864,continuous,connection,,ObjectId(5f1477b5de92720027ba9943),2020-07-21T17:52:46.907Z,2020-07-21T17:52:49.636Z
46,188865,continuous,connection,,ObjectId(5f1477b5de92720027ba9943),2020-07-21T18:27:22.536Z,2020-07-21T18:27:45.888Z
47,188866,continuous,view_tab_discover,,ObjectId(5f1477b5de92720027ba9943),2020-07-21T18:27:22.593Z,2020-07-21T18:27:30.950Z
48,188867,continuous,view_tab_portal,,ObjectId(5f1477b5de92720027ba9943),2020-07-21T18:27:30.950Z,2020-07-21T18:27:45.888Z
